SampleID	female	male
L1S323.274552	0.0050761421319797	0.99492385786802
L1S324.274332	0	1
L1S325.273290	0.0162162162162162	0.983783783783784
L1S326.273313	0	1
L1S327.275047	0	1
L1S328.274091	0	1
L1S329.274894	0.016304347826087	0.983695652173913
L1S33.274904	0.907692307692308	0.0923076923076923
L1S330.274950	0.00515463917525773	0.994845360824742
L1S331.274029	0.00561797752808989	0.99438202247191
L1S332.273671	0.00568181818181818	0.994318181818182
L1S333.274171	0.00540540540540541	0.994594594594595
L1S334.273724	0.3375	0.6625
L1S335.273841	0.0220994475138122	0.977900552486188
L1S336.273230	0	1
L1S337.273287	0	1
L1S338.273528	0.010989010989011	0.989010989010989
L1S339.274501	0.0106951871657754	0.989304812834225
L1S34.274509	0.967391304347826	0.0326086956521739
L1S340.274616	0.0122699386503067	0.987730061349693
L1S341.274763	0.00546448087431694	0.994535519125683
L1S342.273734	0	1
L1S343.274134	0.00510204081632653	0.994897959183674
L1S344.274360	0.0168539325842697	0.98314606741573
L1S345.274745	0.00558659217877095	0.994413407821229
L1S346.273710	0	1
L1S347.273632	0.010752688172043	0.989247311827957
L1S348.273330	0.0247524752475248	0.975247524752475
L1S349.273679	0	1
L1S35.274335	0.978835978835979	0.0211640211640212
L1S350.274305	0	1
L1S351.274053	0.0114942528735632	0.988505747126437
L1S352.275035	0	1
L1S353.275012	0.0220994475138122	0.977900552486188
L1S354.274130	0.0157894736842105	0.984210526315789
L1S355.273704	0.0115606936416185	0.988439306358382
L1S356.274526	0.0126582278481013	0.987341772151899
L1S357.274041	0	1
L1S358.273815	0.0196078431372549	0.980392156862745
L1S359.274297	0.0170454545454545	0.982954545454545
L1S36.273590	0.966850828729282	0.0331491712707182
L1S360.273952	0.0276243093922652	0.972375690607735
L1S361.274485	0.0114942528735632	0.988505747126437
L1S362.274650	0.0216216216216216	0.978378378378378
L1S363.274890	0	1
L1S364.275003	0.00523560209424084	0.994764397905759
L1S365.273336	0.0398009950248756	0.960199004975124
L1S366.274312	0	1
L1S367.274179	0	1
L1S368.274020	0.0105820105820106	0.989417989417989
L1S369.274936	0.0265957446808511	0.973404255319149
L1S37.274627	0.963157894736842	0.0368421052631579
L1S370.274873	0.0353535353535354	0.964646464646465
L1S371.275038	0	1
L1S372.273563	0.0641711229946524	0.935828877005348
L1S374.273604	0.0425531914893617	0.957446808510638
L1S375.275063	0.0101010101010101	0.98989898989899
L1S376.273829	0.00578034682080925	0.994219653179191
L1S378.274245	0.00471698113207547	0.995283018867924
L1S379.273907	0.0050761421319797	0.99492385786802
L1S38.273790	0.969230769230769	0.0307692307692308
L1S380.274329	0	1
L1S381.274884	0.00552486187845304	0.994475138121547
L1S382.274559	0	1
L1S383.274632	0.0104712041884817	0.989528795811518
L1S39.273758	0.974489795918367	0.0255102040816327
L1S4.273385	0.93491124260355	0.0650887573964497
L1S40.273512	0.989583333333333	0.0104166666666667
L1S41.273743	0.994871794871795	0.00512820512820513
L1S42.273626	0.969387755102041	0.0306122448979592
L1S43.274004	0.956284153005464	0.0437158469945355
L1S44.274905	0.951086956521739	0.0489130434782609
L1S45.273912	1	0
L1S46.275163	0.967914438502674	0.0320855614973262
L1S47.273623	0.945652173913043	0.0543478260869565
L1S48.274804	0.973544973544973	0.0264550264550265
L1S49.273695	0.960227272727273	0.0397727272727273
L1S5.274234	0.934782608695652	0.0652173913043478
L1S50.274303	0.957446808510638	0.0425531914893617
L1S51.274027	0.94949494949495	0.0505050505050505
L1S52.273539	0.947643979057592	0.0523560209424084
L1S53.273606	0.988235294117647	0.0117647058823529
L1S54.273348	0.971910112359551	0.0280898876404494
L1S55.273531	0.967567567567568	0.0324324324324324
L1S56.273967	0.979695431472081	0.0203045685279188
L1S57.275149	0.984042553191489	0.0159574468085106
L1S58.275015	0.956284153005464	0.0437158469945355
L1S59.275053	0.961748633879781	0.0382513661202186
L1S6.274392	0.960199004975124	0.0398009950248756
L1S60.274493	0.982758620689655	0.0172413793103448
L1S61.273389	0.971264367816092	0.028735632183908
L1S62.273992	0.989528795811518	0.0104712041884817
L1S63.274199	0.93717277486911	0.06282722513089
L1S64.274666	0.964646464646465	0.0353535353535354
